"team","season","home_wins","home_draws","home_losses","home_gd","away_wins","away_draws","away_losses","away_gd","points"
"Arsenal",1993,8,6,7,5,7,5,9,-3,56
"Arsenal",1994,10,8,3,10,8,9,4,15,71
"Arsenal",1995,6,9,6,6,7,3,11,-3,51
"Arsenal",1996,10,7,2,14,7,5,7,3,63
"Arsenal",1997,10,5,4,18,9,6,4,12,68
"Arsenal",1998,15,2,2,33,8,7,4,2,78
"Arsenal",1999,14,5,0,29,8,7,4,13,78
"Arsenal",2000,14,3,2,25,8,4,7,5,73
"Arsenal",2001,15,3,1,32,5,7,7,-7,70
"Arsenal",2002,12,4,3,17,14,5,0,26,87
"Arsenal",2003,15,2,2,27,8,7,4,16,78
"Arsenal",2004,15,4,0,26,11,8,0,21,90
"Arsenal",2005,13,5,1,35,12,3,4,16,83
"Arsenal",2006,14,3,2,35,6,4,9,2,67
"Arsenal",2007,12,6,1,27,7,5,7,1,68
"Arsenal",2008,14,5,0,26,10,6,3,17,83
"Arsenal",2009,11,5,3,15,9,7,3,16,72
"Arsenal",2010,15,2,2,33,8,4,7,9,75
"Arsenal",2011,11,4,4,18,8,7,4,11,68
"Arsenal",2012,12,4,3,22,9,3,7,3,70
"Arsenal",2013,11,5,3,24,10,5,4,11,73
"Arsenal",2014,13,5,1,25,11,2,6,2,79
"Arsenal",2015,12,5,2,27,10,4,5,8,75
"Arsenal",2016,12,4,3,20,8,7,4,9,71
"Arsenal",2017,14,3,2,23,9,3,7,10,75
"Arsenal",2018,15,2,2,34,4,4,11,-11,63
"Arsenal",2019,14,3,2,26,7,4,8,-4,70
"Arsenal",2020,10,6,3,12,4,8,7,-4,56
"Arsenal",2021,8,4,7,3,10,3,6,13,61
"Arsenal",2022,13,2,4,18,9,1,9,-5,69
"Arsenal",2023,14,3,2,28,12,3,4,17,84
