"team","season","home_wins","home_draws","home_losses","home_gd","away_wins","away_draws","away_losses","away_gd","points"
"Arsenal",1993,8,6,7,5,7,5,9,-3,56
"Aston Villa",1993,13,5,3,20,8,6,7,-3,74
"Blackburn",1993,13,4,4,20,7,7,7,2,71
"Chelsea",1993,9,7,5,7,5,7,9,-10,56
"Coventry City",1993,7,4,10,1,6,9,6,-6,52
"Crystal Palace",1993,6,9,6,2,5,7,9,-15,49
"Everton",1993,7,6,8,-1,8,2,11,-1,53
"Ipswich Town",1993,8,9,4,7,4,7,10,-12,52
"Leeds United",1993,12,8,1,23,0,7,14,-28,51
"Liverpool",1993,13,4,4,23,3,7,11,-16,59
"Manchester City",1993,7,8,6,5,8,4,9,0,57
"Manchester Utd",1993,14,5,2,25,10,7,4,11,84
"Middlesbrough",1993,8,5,8,6,3,6,12,-27,44
"Norwich City",1993,13,6,2,12,8,3,10,-16,72
"Nott'ham Forest",1993,6,4,11,-8,4,6,11,-13,40
"Oldham Athletic",1993,10,6,5,13,3,4,14,-24,49
"QPR",1993,11,5,5,9,6,7,8,-1,63
"Sheffield Utd",1993,10,6,5,14,4,4,13,-13,52
"Sheffield Weds",1993,9,8,4,8,6,6,9,-4,59
"Southampton",1993,10,6,5,9,3,5,13,-16,50
"Tottenham",1993,11,5,5,15,5,6,10,-21,59
"Wimbledon",1993,9,4,8,9,5,8,8,-8,54
